plant_id,plant_name,energy_type,plant_capacity_mw,location_city,location_state,location_country,commissioning_date,operator_name,production_date,energy_generated_mwh,energy_consumed_mwh,net_energy_mwh,capacity_factor_pct,efficiency_pct,grid_feed_in_mwh,revenue_eur,operating_cost_eur,maintenance_cost_eur,co2_emissions_tons,co2_avoided_tons,weather_condition,temperature_avg_c,wind_speed_ms,solar_irradiance_wm2,downtime_hours,downtime_reason,safety_incidents,compliance_status,certification,subsidy_received_eur,created_at
PWR-202300010,Solar Park South 90,Geothermal,180.75,Dortmund,Hessen,Deutschland,2018-02-20,Orsted AG,2025-04-19,4313.2,104.42,4208.78,55.14,16.38,2240.89,93306.51,187939.49,49241.64,4323.67,9800.93,windy,19.5,21.73,798.46,97.77,,3,compliant,ISO 50001,35386.06,2023-07-04 08:24:00
PWR-202300011,Biomass Park East 36,natural_gas,742.48,Dortmund,Sachsen,GERMANY,2011-08-22,Iberdrola AG,2022-07-20,214.35,280.82,-66.47,78.08,20.86,1905.32,241319.73,3966.89,3905.68,2331.0,8662.41,rainy,-0.3,2.64,1021.68,91.05,Equipment Failure,2,Compliant,none,3477.7,2023-01-21 22:13:00
PWR-202300012,Wind Park South 98,Coal,659.06,Dusseldorf,Hessen,Germany,04/18/2021,Municipal Utility ,2022-07-05,2296.98,277.51,2019.47,38.99,97.43,3733.4,415791.51,124400.24,9203.56,902.4,8398.84,windy,-4.3,25.22,116.96,134.76,Weather,1,compliant,None,0.0,2023-09-17 11:52:00
PWR-202300013,Hydro Park North 12,nuclear,290.77,Munich,Hessen,GERMANY,2013-11-30,Statkraft Inc,2024-08-19,4491.95,51.18,4440.77,79.17,96.08,17.38,446487.02,19016.58,7356.5,2436.12,2193.37,Foggy,33.8,26.6,927.88,42.63,Equipment Failure,3,non_compliant,EU Ecolabel,0.0,2023-08-18 19:16:00
PWR-202300014,Biomass Park North 46,nuclear,347.15,Munich,Baden-Wurttemberg,GERMANY,2023-08-13,EnBW GmbH,2024-10-03,4602.22,359.05,4243.17,90.15,84.53,3635.51,68497.26,98466.54,39474.7,2753.89,9720.75,rainy,19.7,24.53,231.15,45.07,Scheduled Service,3,non_compliant,TUV,0.0,2023-09-14 15:14:00
PWR-202300015,Hydro Park Central 34,solar,20.28,Dresden,Sachsen,Germany,2021-06-19,E.ON GmbH,2024-12-17,798.85,272.28,526.57,11.72,42.53,1869.93,11928.16,27501.69,9296.34,4429.36,5525.03,sunny,28.2,11.13,1105.89,93.31,Unscheduled Repair,4,pending,EU Ecolabel,39928.39,2023-09-17 01:04:00
PWR-202300016,Solar Park West 69,natural_gas,382.85,Cologne,Baden-Wurttemberg,DE,2016-05-26,Municipal Utility Ltd,2023-02-11,4577.48,301.83,4275.65,41.39,45.76,2609.02,465900.58,117838.22,11141.03,623.19,5152.94,stormy,1.6,19.93,1087.77,135.36,Maintenance,1,Non-Compliant,ISO 50001,92406.08,2023-12-21 07:50:00
PWR-202300017,Solar Park West 11,wind,29.35,Leipzig,Niedersachsen,DE,2017-12-24,Municipal Utility GmbH,2024-07-11,1204.65,248.75,955.9,73.77,20.09,2469.48,358023.77,135895.5,47737.61,946.82,520.93,cloudy,35.4,10.42,653.28,140.73,Equipment Failure,1,compliant,none,76904.75,2023-09-26 18:35:00
PWR-202300018,Geothermal Park East 81,Geothermal,282.72,Munich,Baden-Wurttemberg,Deutschland,13-05-2016,RWE ,2022-02-28,3738.26,273.72,3464.54,48.36,67.41,3247.73,316152.85,30617.51,30106.43,2623.06,3451.68,stormy,1.9,29.72,934.93,103.36,Equipment Failure,2,Under Review,ISO 14001,0.0,2023-01-04 21:01:00
PWR-202300019,Geothermal Park East 74,WIND,828.92,Dortmund,Brandenburg,Germany,2018-10-06,NextEra ,2022-08-31,2587.39,273.16,2314.23,90.24,44.49,3743.68,210893.05,109542.61,9494.07,3068.22,3770.97,Stormy,24.6,6.82,1036.94,42.72,Scheduled Service,2,non_compliant,none,16014.71,2023-10-10 06:34:00
PWR-202300020,Wind Park North 6,SOLAR,703.06,Munich,NRW,DE,2016-12-21,Iberdrola Inc,05-07-2023,2597.19,375.2,2221.99,77.67,72.93,875.73,460194.21,116481.12,30410.51,3110.18,2110.12,Stormy,26.3,27.36,617.22,164.43,Equipment Failure,4,Compliant,ISO 14001,0.0,2023-07-01 03:47:00
PWR-202300021,Wind Park East 11,Nuclear,354.31,Dresden,Brandenburg,Deutschland,01-08-2019,Orsted Ltd,2025-09-25,4435.17,197.51,4237.66,90.42,54.71,4109.72,254170.67,122578.57,15399.31,4796.55,803.47,Windy,12.4,28.46,990.73,18.46,Grid Outage,2,Non-Compliant,ISO 14001,74730.68,2023-09-12 00:36:00
PWR-202300022,Wind Park North 49,Coal,39.56,Frankfurt,Brandenburg,Germany,2019-05-23,NextEra GmbH,2022-02-12,1810.59,308.53,1502.06,61.72,26.55,2395.33,254355.4,156791.2,13409.09,1159.94,8997.84,foggy,20.0,26.77,187.12,53.02,,3,non_compliant,,44777.98,2023-03-24 15:12:00
PWR-202300023,Hydro Park West 82,Coal,315.41,Leipzig,Hessen,Germany,2012-07-21,Statkraft GmbH,2023-01-23,3926.14,432.53,3493.61,35.1,79.39,3971.35,243027.06,83788.17,36105.88,3264.46,41.19,Sunny,20.5,3.98,364.17,165.2,Weather,2,pending,none,0.0,2023-01-26 17:57:00
PWR-202300024,Hydro Park South 48,Hydro,877.03,Hamburg,Brandenburg,Germany,2015-09-18,RWE Inc,15 Aug 2024,992.97,466.52,526.45,29.98,24.18,477.67,380041.96,171285.28,40363.4,4401.99,8083.48,windy,12.1,27.56,876.54,9.72,Scheduled Service,4,non_compliant,Green Energy,0.0,2023-11-22 05:44:00
PWR-202300025,Hydro Park South 86,Biomass,28.01,Cologne,Brandenburg,DE,2016-12-22,Vattenfall AG,12-09-2022,3056.14,289.68,2766.46,75.16,82.83,2254.64,300968.6,93329.5,16370.65,2179.21,5901.9,stormy,-1.9,27.48,221.4,39.71,,5,Non-Compliant,,52903.15,2023-12-01 18:34:00
PWR-202300026,Hydro Park North 78,WIND,999.92,Dortmund,NRW,DE,2019-05-08,NextEra Inc,2025-05-09,2428.66,198.76,2229.9,67.02,82.95,2095.01,377315.17,55831.75,1368.42,2818.71,2363.57,Rainy,13.9,10.01,362.22,51.1,Unscheduled Repair,3,Under Review,None,0.0,2023-09-13 07:42:00
PWR-202300027,Wind Park Central 94,wind,628.41,Stuttgart,Bayern,GERMANY,2011-01-26,EnBW GmbH,19-12-2022,4291.99,220.69,4071.3,13.32,34.91,658.09,318045.47,38660.45,46675.79,3969.71,9059.03,Foggy,13.9,25.04,454.99,116.64,Grid Outage,3,Non-Compliant,None,61494.81,2023-01-03 04:50:00
PWR-202300028,Wind Park South 60,solar,208.19,Munich,Bayern,DE,2012-12-04,Vattenfall ,01/31/2022,1338.19,38.92,1299.27,90.37,76.71,4187.49,107826.91,54137.52,14264.31,1385.95,2738.63,foggy,28.4,19.28,22.8,45.87,,3,pending,EU Ecolabel,0.0,2023-08-04 11:20:00
PWR-202300029,Biomass Park East 82,Hydro,544.94,Berlin,Bayern,GERMANY,2017-07-06,E.ON Inc,2025-01-28,1532.1,263.11,1268.99,79.72,21.0,4143.48,35754.83,90890.13,13924.13,3949.16,1052.59,cloudy,30.3,15.65,989.22,76.84,,2,non_compliant,EU Ecolabel,78457.88,2023-12-20 13:37:00
PWR-202300030,Geothermal Park South 88,coal,297.13,Dortmund,NRW,Deutschland,2018-01-20,Statkraft AG,2022-03-06,3823.44,179.29,3644.15,33.3,93.9,1260.24,438455.42,148657.68,47813.78,2134.16,6028.07,foggy,-6.6,19.16,274.84,27.74,Equipment Failure,1,non_compliant,ISO 14001,0.0,2023-12-22 09:12:00
PWR-202300031,Hydro Park North 30,coal,459.23,Leipzig,Baden-Wurttemberg,GERMANY,2022-07-14,EnBW Inc,2022-01-01,3813.44,179.63,3633.81,86.32,86.44,3154.69,306167.06,5589.3,45462.46,1932.27,3547.33,Foggy,22.2,13.74,267.52,60.69,Unscheduled Repair,2,Non-Compliant,Green Energy,0.0,2023-10-04 03:33:00
PWR-202300032,Solar Park East 52,solar,612.88,Dortmund,Sachsen,Germany,2025-08-25,NextEra Inc,12/23/2023,4425.25,410.78,4014.47,79.84,55.79,3501.34,219322.94,16692.79,49380.47,2614.67,7232.41,stormy,-6.4,15.54,765.78,3.54,,1,COMPLIANT,Green Energy,11939.49,2023-03-12 18:25:00
PWR-202300033,Hydro Park North 28,hydro,304.88,Leipzig,Bayern,DE,2022-11-12,E.ON Ltd,21 Oct 2025,3167.95,108.68,3059.27,83.13,66.41,4081.55,223736.49,167309.44,28755.72,3279.59,8535.17,Windy,20.8,7.74,1134.47,1.5,Equipment Failure,2,non_compliant,ISO 50001,18921.57,2023-04-19 19:26:00
PWR-202300034,Geothermal Park East 28,wind,69.12,Frankfurt,Sachsen,Germany,2013-09-18,Statkraft AG,2025-08-18,4747.97,85.84,4662.13,89.85,80.19,3693.78,304620.72,14239.44,9123.35,4105.39,8307.51,Foggy,-4.4,10.14,192.81,122.13,Grid Outage,3,non_compliant,ISO 14001,9910.86,2023-02-01 12:05:00
PWR-202300035,Biomass Park West 83,geothermal,765.1,Leipzig,Niedersachsen,Germany,2011-12-09,Municipal Utility GmbH,21 Oct 2025,3416.76,331.14,3085.62,61.47,57.18,4357.56,452981.13,140570.1,19157.2,1405.5,5700.06,rainy,-2.0,3.17,721.85,50.39,,1,Non-Compliant,None,26179.61,2023-04-28 19:54:00
PWR-202300036,Biomass Park South 34,SOLAR,194.66,Dortmund,Sachsen,Germany,2015-11-05,Iberdrola GmbH,28 Feb 2022,1187.58,12.12,1175.46,23.08,50.84,1588.53,418059.7,10686.56,40119.9,1698.03,3259.43,foggy,33.3,18.19,45.26,44.68,Scheduled Service,3,compliant,none,0.0,2023-11-21 08:48:00
PWR-202300037,Wind Park South 96,coal,176.06,Stuttgart,Hessen,DE,25/11/2022,NextEra AG,2023-08-13,1509.25,377.64,1131.61,83.09,79.58,429.59,78861.01,131063.13,16852.96,2691.48,1014.43,cloudy,39.4,28.03,816.42,114.1,Unscheduled Repair,5,Compliant,none,99391.89,2023-02-13 05:53:00
PWR-202300038,Geothermal Park Central 34,Solar,374.42,Dortmund,Niedersachsen,Germany,2012-07-07,Local Energy GmbH,2022-01-31,2320.35,0.22,2320.13,41.82,25.19,457.85,62814.71,4999.26,17346.11,1832.61,6719.17,Cloudy,6.9,18.16,209.94,133.84,Equipment Failure,0,Compliant,Green Energy,98162.33,2023-05-28 18:50:00
PWR-202300039,Geothermal Park West 75,coal,918.49,Dusseldorf,Hessen,Germany,24 Jun 2022,Vattenfall AG,09/08/2024,4475.7,477.76,3997.94,21.18,91.21,4385.54,210889.78,149090.41,33974.01,963.28,3291.65,stormy,-6.6,11.1,178.62,159.46,,5,pending,none,9120.3,2023-07-03 00:13:00
PWR-202300040,Biomass Park East 29,natural_gas,141.95,Dusseldorf,Hessen,DE,2016-11-20,NextEra ,2025-08-01,2572.5,279.86,2292.64,15.86,69.93,1475.98,127917.41,180562.08,20868.2,654.06,9431.86,Stormy,35.9,22.72,808.85,121.48,Equipment Failure,4,pending,,14507.15,2023-04-01 18:30:00
PWR-202300041,Wind Park Central 64,Coal,798.73,Frankfurt,Sachsen,GERMANY,2015-05-08,Municipal Utility ,2024-04-30,3001.52,328.46,2673.06,79.51,66.45,1677.24,347893.53,130710.5,31384.71,182.94,8165.54,Windy,29.9,17.1,747.64,0.55,Equipment Failure,0,pending,EU Ecolabel,82045.54,2023-08-20 11:24:00
PWR-202300042,Solar Park North 15,Coal,853.79,Stuttgart,Brandenburg,Germany,2017-02-25,Vattenfall AG,2024-05-14,2494.24,177.71,2316.53,12.49,68.65,2002.84,313534.33,198850.73,11734.79,603.8,9052.95,stormy,39.3,8.26,295.13,122.35,Grid Outage,4,Non-Compliant,None,12401.32,2023-12-10 07:29:00
PWR-202300043,Wind Park South 88,geothermal,823.53,Hamburg,NRW,Deutschland,2010-08-13,Statkraft AG,2024-07-03,3700.43,118.28,3582.15,31.17,38.94,958.35,16803.07,44931.18,43731.38,3768.87,3958.12,stormy,-7.6,19.16,838.0,22.76,Scheduled Service,0,compliant,None,74328.96,2023-01-15 13:52:00
PWR-202300044,Biomass Park Central 9,geothermal,740.82,Leipzig,NRW,Germany,2010-11-21,Orsted Ltd,2025-02-07,1237.37,10.78,1226.59,83.63,71.22,3824.94,240670.07,185359.04,19877.87,3929.25,8128.27,Rainy,39.9,11.52,475.15,28.28,,3,pending,EU Ecolabel,0.0,2023-01-05 18:19:00
PWR-202300045,Biomass Park West 77,coal,436.67,Berlin,Baden-Wurttemberg,Germany,2014-03-04,Local Energy GmbH,2025-09-05,1219.19,353.62,865.57,45.14,28.93,1568.67,212002.91,55701.92,7578.68,2859.93,6984.61,sunny,29.4,10.4,1017.84,164.92,,3,Compliant,ISO 50001,0.0,2023-08-23 17:17:00
PWR-202300046,Biomass Park Central 33,Coal,557.0,Stuttgart,NRW,GERMANY,15 Nov 2013,EnBW GmbH,2022-10-12,3139.54,6.7,3132.84,92.08,82.5,4324.48,469388.18,102561.91,24389.09,3.97,1426.7,rainy,34.7,23.52,267.4,115.04,Equipment Failure,4,compliant,none,NULL,2023-12-28 05:57:00
PWR-202300047,Geothermal Park North 88,Solar,694.5,Hamburg,Niedersachsen,DE,2019-04-13,Local Energy Ltd,2023-11-01,3024.58,366.56,2658.02,18.31,80.39,2488.49,8195.99,130987.99,37530.45,826.89,1905.47,Rainy,-6.2,8.45,585.81,160.77,Scheduled Service,0,Compliant,TUV,0.0,2023-11-12 11:21:00
PWR-202300048,Solar Park Central 97,biomass,455.21,Munich,Baden-Wurttemberg,DE,10/08/2013,Local Energy AG,06/06/2022,3912.43,100.76,3811.67,92.55,18.44,197.62,64683.08,134267.57,13428.94,2389.58,5789.74,rainy,8.9,19.31,811.43,119.19,Scheduled Service,0,COMPLIANT,Green Energy,0.0,2023-01-23 18:33:00
PWR-202300049,Hydro Park East 15,Nuclear,313.43,Frankfurt,NRW,Deutschland,2010-12-07,EnBW Inc,2025-05-19,4426.97,489.31,3937.66,44.56,38.18,2526.56,65415.51,31407.05,10773.54,4715.58,5507.05,stormy,15.1,7.49,1150.19,61.73,,0,Compliant,Green Energy,0.0,2023-03-09 06:40:00
PWR-202300050,Hydro Park West 21,hydro,40.23,Frankfurt,Niedersachsen,DE,05/11/2018,Municipal Utility GmbH,07/01/2025,2014.13,49.47,1964.66,58.28,40.1,2861.1,110480.89,89737.16,46394.42,1225.34,4411.54,Windy,17.2,18.56,312.84,105.87,Scheduled Service,3,COMPLIANT,ISO 50001,20562.03,2023-12-08 07:10:00
PWR-202300051,Biomass Park North 93,WIND,744.39,Leipzig,Hessen,DE,03-05-2021,Municipal Utility Inc,19/06/2024,4368.14,381.9,3986.24,34.71,79.44,2016.61,315694.38,8259.92,43549.7,1977.2,2165.03,windy,-1.9,2.18,653.71,111.38,Weather,0,Under Review,none,94747.18,2023-09-13 12:17:00
PWR-202300052,Hydro Park Central 98,Wind,546.63,Stuttgart,Baden-Wurttemberg,Deutschland,22/06/2019,Local Energy AG,2023-07-29,4098.69,150.76,3947.93,62.59,17.13,3646.69,375656.39,124209.47,36606.43,822.07,6495.94,Cloudy,2.3,20.04,684.08,41.77,Grid Outage,3,Compliant,none,0.0,2023-10-17 12:43:00
PWR-202300053,Wind Park Central 14,geothermal,56.74,Leipzig,Brandenburg,GERMANY,2019-12-13,NextEra Ltd,2025-01-10,3257.34,294.47,2962.87,55.99,78.45,4316.06,69769.64,117789.3,13097.8,3649.09,2584.68,stormy,-3.1,4.9,567.79,101.72,Weather,5,Compliant,,76202.87,2023-05-14 08:17:00
PWR-202300054,Hydro Park Central 78,natural_gas,471.69,Leipzig,Brandenburg,DE,27-01-2022,NextEra GmbH,02/09/2022,656.14,307.4,348.74,77.0,67.97,1279.46,324669.86,65140.8,32655.17,923.5,965.74,stormy,-4.1,12.95,564.86,52.63,,0,Compliant,ISO 14001,98150.15,2023-02-24 21:25:00
PWR-202300055,Wind Park South 48,Hydro,726.56,Cologne,Brandenburg,DE,2024-05-31,Vattenfall GmbH,14/01/2025,4943.07,2.64,4940.43,88.16,61.34,3858.56,201148.37,10788.54,48551.27,624.76,8656.12,foggy,-2.2,20.64,278.45,5.91,Maintenance,0,Non-Compliant,,0.0,2023-04-16 03:57:00
PWR-202300056,Wind Park Central 68,wind,719.44,Munich,Hessen,GERMANY,2016-06-26,Statkraft Ltd,2022-06-23,570.92,246.07,324.85,20.54,94.25,2232.21,353496.41,38255.13,18278.9,1378.29,699.81,Rainy,19.9,11.47,717.27,48.42,Scheduled Service,3,Under Review,none,0.0,2023-05-13 02:05:00
PWR-202300057,Solar Park Central 42,hydro,609.93,Berlin,Bayern,DE,2010-08-03,Statkraft Ltd,2024-12-10,3981.61,372.56,3609.05,66.31,39.83,1273.55,425378.75,125375.29,46023.55,459.17,2527.69,cloudy,-2.3,6.96,960.79,89.37,,5,COMPLIANT,none,25607.35,2023-06-28 14:43:00
PWR-202300058,Biomass Park North 15,Coal,62.61,Hamburg,Brandenburg,Germany,2024-09-14,Municipal Utility GmbH,2023-10-11,178.62,79.49,99.13,70.64,17.69,3927.76,137438.42,78799.31,9169.33,3617.29,7086.5,sunny,15.1,16.13,213.99,62.48,,4,non_compliant,EU Ecolabel,0.0,2023-01-17 05:39:00
PWR-202300059,Hydro Park East 31,hydro,553.05,Leipzig,Hessen,Deutschland,2011-09-10,Statkraft Inc,2024-12-31,2026.5,141.49,1885.01,91.73,53.4,1273.57,306181.65,61345.35,95.4,3884.28,73.36,stormy,28.2,20.55,319.15,105.04,Maintenance,5,COMPLIANT,EU Ecolabel,NULL,2023-05-02 11:54:00
PWR-202300060,Solar Park South 73,SOLAR,449.62,Leipzig,Baden-Wurttemberg,DE,2010-04-01,NextEra Inc,2022-08-06,1394.5,44.81,1349.69,51.38,80.36,3667.88,331208.18,67096.68,1790.86,4946.44,1480.51,foggy,18.6,12.75,95.36,141.51,Maintenance,3,COMPLIANT,ISO 14001,83594.74,2023-08-06 21:02:00
PWR-202300061,Solar Park North 94,WIND,532.6,Berlin,Baden-Wurttemberg,Deutschland,18 Oct 2024,RWE ,2025-03-02,4483.16,247.11,4236.05,88.08,88.51,1643.22,317376.71,148579.22,46362.43,438.09,1529.23,Foggy,25.8,7.62,83.75,78.02,Unscheduled Repair,2,Under Review,none,0.0,2023-06-05 19:13:00
PWR-202300062,Biomass Park North 98,Natural Gas,370.76,Cologne,Brandenburg,Deutschland,04-03-2021,Orsted Ltd,26-07-2023,2427.2,488.25,1938.95,89.02,74.48,3960.89,7192.46,188625.28,25581.25,3716.97,6801.81,rainy,0.9,8.75,0.59,71.0,Maintenance,4,compliant,,60643.65,2023-06-26 01:55:00
PWR-202300063,Geothermal Park South 17,natural_gas,781.72,Hamburg,Brandenburg,DE,05 Jun 2019,Vattenfall GmbH,2022-05-11,3577.92,470.33,3107.59,46.19,36.51,4049.47,156416.7,197816.89,7452.84,4588.27,6316.94,Cloudy,32.4,9.98,570.4,76.34,Grid Outage,2,non_compliant,TUV,20497.86,2023-02-03 01:35:00
PWR-202300064,Biomass Park Central 22,wind,188.19,Dusseldorf,Brandenburg,Deutschland,2020-10-18,Orsted GmbH,2023-03-20,4589.39,241.37,4348.02,45.96,37.77,2582.92,370645.54,18433.63,5924.62,1057.72,2543.66,rainy,30.7,13.07,990.94,142.23,Equipment Failure,5,compliant,TUV,0.0,2023-04-19 17:54:00
PWR-202300065,Hydro Park Central 78,Natural Gas,8.06,Dusseldorf,Brandenburg,Germany,2025-10-07,Local Energy AG,2024-01-11,1847.72,117.23,1730.49,80.68,16.27,2397.08,397420.75,119891.29,45628.36,1176.63,6718.25,Foggy,39.9,28.1,1084.37,46.52,Weather,2,COMPLIANT,,40572.83,2023-08-04 20:16:00
PWR-202300066,Biomass Park South 70,solar,367.8,Leipzig,Sachsen,Deutschland,2018-01-05,Vattenfall AG,2025-08-30,512.02,186.83,325.19,65.29,87.11,3198.34,21206.73,141701.16,14593.2,1769.42,8637.3,stormy,39.3,6.39,711.29,67.4,Equipment Failure,4,Non-Compliant,None,0.0,2023-02-28 02:05:00
PWR-202300067,Wind Park East 52,coal,595.2,Munich,Niedersachsen,GERMANY,2018-12-01,RWE GmbH,2023-11-08,1028.45,437.86,590.59,55.73,95.15,2207.44,359600.35,169157.81,30808.83,1793.14,4570.5,Sunny,37.4,3.7,287.44,153.05,,4,Compliant,ISO 50001,17235.46,2023-03-20 08:42:00
PWR-202300068,Hydro Park West 67,WIND,365.95,Dusseldorf,Hessen,Germany,2016-04-22,RWE AG,20-03-2023,927.4,150.1,777.3,30.78,73.77,1285.92,175352.35,88808.71,19106.09,4960.42,9881.36,Stormy,18.1,8.17,129.86,124.59,Weather,2,Under Review,EU Ecolabel,52429.31,2023-05-16 19:34:00
PWR-202300069,Biomass Park North 32,Natural Gas,12.27,Cologne,Hessen,Deutschland,2016-12-27,Vattenfall GmbH,2023-07-05,2413.06,30.87,2382.19,36.63,43.61,1385.3,334192.7,111792.16,26676.28,4416.44,2299.64,sunny,21.9,15.94,462.29,41.89,,0,COMPLIANT,Green Energy,0.0,2023-09-19 02:30:00
PWR-202300070,Wind Park North 44,Hydro,611.83,Frankfurt,Baden-Wurttemberg,Deutschland,2024-05-10,E.ON Ltd,2023-09-19,3172.13,30.47,3141.66,70.05,60.3,3567.68,235370.37,35316.64,48894.92,3670.83,1923.15,Foggy,-6.7,13.48,1120.57,57.02,Grid Outage,3,Under Review,none,34018.5,2023-07-15 20:18:00
PWR-202300071,Solar Park Central 71,Wind,316.87,Dusseldorf,Hessen,GERMANY,12/25/2015,EnBW Ltd,20/01/2023,4758.83,372.59,4386.24,16.32,74.51,3612.25,197453.93,83662.16,1666.38,832.6,8605.18,stormy,-10.0,28.47,565.73,93.3,,5,COMPLIANT,,47883.74,2023-03-22 12:47:00
PWR-202300072,Wind Park Central 29,solar,122.21,Dresden,Sachsen,Deutschland,2011-07-25,Iberdrola GmbH,2023-09-01,2228.0,317.21,1910.79,79.53,47.45,1586.11,235445.09,131226.96,24697.77,4739.85,7619.33,Sunny,27.3,15.69,224.5,117.57,,1,compliant,Green Energy,0.0,2023-07-15 20:19:00
PWR-202300073,Solar Park North 91,natural_gas,58.64,Dusseldorf,NRW,Deutschland,2012-10-09,Local Energy AG,2022-05-16,1183.17,415.6,767.57,20.55,44.32,400.76,294234.17,76006.83,546.24,1301.51,1519.35,rainy,29.8,14.87,278.09,55.76,Weather,0,Compliant,none,NULL,2023-10-03 23:35:00
PWR-202300074,Solar Park South 9,Nuclear,652.69,Dusseldorf,Sachsen,Deutschland,11/08/2011,E.ON Ltd,2023-03-31,2320.69,458.13,1862.56,42.7,17.63,1445.53,331693.69,83238.08,35331.58,2301.33,23.19,Stormy,27.4,8.89,666.69,63.97,,2,Under Review,none,0.0,2023-04-05 12:19:00
PWR-202300075,Solar Park East 10,Wind,155.31,Cologne,Sachsen,DE,19/07/2024,EnBW AG,21-06-2024,2442.02,315.83,2126.19,67.35,85.24,902.94,257677.4,158145.73,28449.34,3110.28,1006.23,Foggy,27.2,14.37,159.92,63.9,Grid Outage,2,Non-Compliant,none,7753.52,2023-09-11 11:12:00
PWR-202300076,Geothermal Park South 36,Geothermal,691.64,Stuttgart,Baden-Wurttemberg,DE,2025-07-29,Orsted ,2025-08-05,4682.74,444.74,4238.0,68.52,32.5,3746.61,4959.31,19126.42,766.92,1239.07,1237.57,sunny,15.2,9.7,179.99,111.84,,2,Non-Compliant,none,80677.52,2023-11-17 22:12:00
